"","X","Full.text","Year","Publication"
"23343",23343," THE FACTS Poor sleep and advancing age go hand in hand - at least, that is the conventional wisdom. But growing research suggests that getting older may not necessarily mean getting less sleep. Scientists suspect that sleep problems in many older Americans may be a symptom of underlying illness, not simply aging. In a study published this month in the journal Sleep, researchers at the University of Pennsylvania looked at nearly 156,000 people, focusing on how well they slept at night and how often they experienced fatigue. The researchers found that poor general health and depression were linked to sleep disturbances and tiredness. Looking at reports of sleep problems across all ages, the researchers also found a slight increase in sleep disturbances during middle age. But over all, most people reported fewer sleep problems as they grew older, and 80-year-old people had fewer complaints than those who were 50. Another study last year showed that older people had a better ability to withstand the effects of sleep deprivation. And a large analysis of studies involving people of all ages found that most changes in sleep patterns occured between the ages of 20 and 60, and that healthy older people did not have more trouble falling asleep than younger counterparts. Those who do experience sleep problems, the study's authors said, may be showing signs of illness or side effects of medication, and should talk to a doctor. THE BOTTOM LINE In healthy adults, sleep does not necessarily get worse with age. scitimes@nytimes.comnThis is a more complete version of the story than the one that appeared in print. Illustration Drawing (Drawing by Christoph Niemann) ",2012,"New York Times, Late Edition (East Coast); New York, N.Y."
"25698",25698," Baseball is a game of numbers. But the most important number this season is not Ryan Zimmerman's .347 batting average, Aaron Judge's 24 home runs or Clayton Kershaw's 10 wins and 2.61 earned-run average as of Tuesday. The most important number in baseball for the 2017 season is 3:08. That's three hours and eight minutes, the average time it takes to play a Major League Baseball (MLB) game, according to Baseball-Reference.com. It's an important number because it is way too slow. In fact, MLB games are being played at the slowest pace in history. In 2000, the average game was 3:01 - not that big a difference. But in 1980, the average game was finished in two hours and 38 minutes. These numbers are important because baseball is losing fans, and especially young fans, to faster games such as basketball, soccer and lacrosse. So what can MLB do to speed things up? Here are some ideas. Stay in the box: Too many players step out of the batter's box after every pitch to adjust their batting gloves and take practice swings. Years ago, there was a player named Mike Hargrove, who adjusted his gloves so often they called him ""the Human Rain Delay."" Now, almost every player is like Mike Hargrove. The rule should be: Stay in the batter's box. Stop fiddling around, and play ball. Fewer meetings: It seems that every inning is interrupted with meetings on the pitcher's mound. Catchers, infielders, pitching coaches and managers come out to talk. Meetings are often boring, but they are really boring in baseball. I think the rules should limit meetings on the mound to one an inning. If you want to talk with the pitcher or another player, yell or use signals. Signals are cool. They are baseball's secret language. Instant-replay review: I don't like instant-replay review because it sends the message to kids that every call has to be perfect for the game to be fair. Sometimes there are going to be bad calls. It's good to learn to ignore them and keep playing hard. If we are going to have replay review, at least speed it up. If the manager thinks the call was wrong, he should protest right away - within 10 seconds. That would cut down on the number of protests because a manager who challenges and is wrong gets no more challenges in a regular-season game. Pitching changes: Some have suggested that MLB make rules to limit the number of pitchers who can pitch in an inning. Or have a clock so pitchers must throw a pitch within 20 seconds. These are pretty radical suggestions. But MLB has to do something because 3:08 is a bad number for baseball. kidspost@washpost.com Bowen writes the sports opinion column for KidsPost. He is the author of 22 kids sports books, including nine baseball books. ",2017,"The Washington Post; Washington, D.C."
"10822",10822," 愼㸰 Glaxo Inc., the pharmaceutical company, has amassed the following tidbits about how people sleep: * Individuals spend one-third of their lives asleep--about 220,000 hours in an average lifetime. * Newborns sleep around 16-18 hours a day, in spans of two to four hours. Teenagers generally require more than nine hours of sleep to remain alert. * The average sleeper moves 30 times in eight hours. * In older age, people tend to sleep less during the night and doze off during the day. Contrary to common belief, the need for sleep does not decrease with age--the elderly find that their sleep just becomes more fitful. * On average, working mothers with children sleep five percent less each night than their husbands. * It takes 10-15 minutes for well-rested people to fall asleep. * Couples who share a bed sleep less deeply. * More than 40,000,000 Americans snore. Loud snoring measures 80 decibels, equivalent to the sound of a jackhammer. Men are nine times more likely to snore than women. * Eight out of 10 asthma sufferers with nighttime symptoms awake an average of three nights per week. Those who experience symptoms of nocturnal asthma wake up an average of twice a night, and more than half stay awake 30 minutes at a time. * In a study conducted by the Sleep Disorders Center at Stanford University's Medical School, more than half of all shift workers surveyed admit that they fall asleep at work on a regular basis. * Charles Dickens would sleep only in a bed that was aligned on a north-south axis. * Benjamin Franklin slept in two beds each night, moving to the second when the first became too warm for him. * During World War II, British Prime Minister Winston Churchill stayed rested and alert by scheduling cabinet meetings around his naps. * During the final 48 hours of his 1992 run for the presidency, Bill Clinton campaigned through 14 cities and 5,000 miles without sleep. ",1995,"USA Today; Farmingdale"
"15032",15032," 愼㸰 Adults who say it takes them more than 30 minutes to fall asleep at night: Never 30% 1-2 times per week 32% 3 or more times per week 38% Illustration GRAPHIC, B/W, Cindy Hall and Elizabeth Wing, USA TODAY, Source: National Sleep Foundation (PIE CHART) ",2000,"USA TODAY; McLean, Va."
"14596",14596," Americans are sleeping less to cram in more work and play, a self- defeating cycle that leaves half the work force complaining that drowsiness interferes with their job, researchers said Tuesday. The National Sleep Foundation said adults of all ages get less than the recommended eight hours of sleep a night, putting themselves at risk of auto accidents and, over the longer-term, greater risk of diseases such as high blood pressure and diabetes. The foundation released its ""Sleep in America"" poll that found a third of adults slept only 6.5 hours a night during the work week. People got more sleep on weekends but still not eight hours. The poll of 1,154 adults found 45 percent of respondents will sleep less in order to get more work done. Surfing the Internet and watching television are also seen as prime contributors to the lack of sleep. Those activities were blamed by 43 percent for staying up late. ""Sleep is viewed as expendable,"" said James Walsh, a vice president of the foundation and executive director of St. Luke's Hospital Sleep Medicine/Research Center, in Chesterfield, Missouri. ""The people who stay up to work, they work more, but it's probably the same people who complain they can't concentrate the next day,"" Walsh said at a press conference. Fifty-one percent said sleepiness on the job interferes with the amount of work they get done and nearly one in five adults reported making work errors due to drowsiness. National Transportation Safety Board Chairman Jim Hall said sleep problems permeated society. He said operator fatigue had been on the agency's priority list of safety improvements for over a decade. ""Human fatigue is one of the most endemic safety issues in our society,"" said Hall, who recounted the death of a friend's son when he fell asleep at the wheel of his pickup truck. Half of the poll's respondents admitted to driving while drowsy. Among 18 to 29-year-olds, 24 percent reported falling asleep at the wheel at some point during the past year. ",2000,"Chicago Tribune; Chicago, Ill."
"20950",20950," If you feel like you're dragging at work, try grabbing a pillow instead of gulping down a latte. Catching some Z's at the office might seem like the worst thing to do when you're behind, but napping can improve productivity, according to sleep scientist Sara Mednick, a professor at the University of California-San Diego and author of ""Take a Nap! Change Your Life."" That daily 20-minute run to the coffeehouse would be better spent either catching up on missed sleep or supplementing the eight hours you got the night before. Research shows performance on memory tasks improves more following a nap than after a dose of caffeine, which provides only a short-term buzz, Mednick said. ""Most people are not sleeping well,"" she said. ""The average is about 6.7 hours a night."" Well-rested employees get along better with co-workers and feel more energized at the day's end, plus sleep better at night, Mednick said. But don't count too many sheep while you're on the clock. After about half an hour you'll fall into a deep sleep that will leave you groggy when you wake up. Credit: Associated Press ",2007,"Chicago Tribune; Chicago, Ill."
"11825",11825," Sleep Thieves: An Eye-Opening Exploration Into the Science and Mysteries of Sleep By Stanley Coren Free Press, 303 pages, $24 The Enchanted World of Sleep By Pertz Lavie, translated by Anthony Berris Yale University Press, 270 pages, $27.50 They say we know more about the moons of Jupiter than we do about the ocean depths; surely for most of us the depths of sleep are equally remote. Scientists know much about sleep, but unlike, say, the facts of exercise or nutrition, the facts have not reached the laity. This was apparent from a reading of these two fascinating books, which explain the state of the art in sleep research and its implications for everyday life. Stanley Coren's is more accessible and brightly written, although Pertz Lavie is a fine writer as well, and he gives considerable detail from his own research, including many charts and graphs. A professor of psychology at the University of British Columbia, Coren enumerates the things that rob us of sleep and describes the serious consequences. The first thief is our Western cultural disapproval of sleep, what Coren calls ""Edison's Curse"": We, along with the inventor of the lightbulb, regard sleep as time wasted and admire anyone who gets by with less than we do, and we constantly try to fit more activity into our day by truncating our sleeping hours. But if we need 7 1/2 hours of sleep a night and we get only 6, a sleep debt builds up that, over several days, makes us depressed, forgetful, inefficient, accident-prone and downright stupid. Fortunately, we can make up sleep debt in one or two nights, and many adults do that on weekends, but sleep-deprived teenagers tend to sleep even less on weekends. Teens indeed are as severely affected by sleep debt as adults, and much failure in school, Coren writes, is because of sleep deprivation or a mismatch between school hours and the sleep-clocks of individual kids. Puberty often brings, for a few years at least, a night-owl cycle where one is brightest and sharpest at night and unable to function in early morning. But the high school bus comes at 7. It is not boredom or the droning engine that makes us drowsy while driving; it's sleep debt. Here Coren cites research by Lavie (head of the Sleep Laboratory at the Technion-Israel Institute of Technology in Haifa, Israel) and others that shows most people have two periods of strongest sleep-need per day: in the predawn hours and the late afternoon. Natural sleepiness at these times is made worse by sleep debt. In ""The Enchanted World of Sleep,"" Lavie reports his findings that from 1984 to 1989 in Israel, accidents caused by falling asleep at the wheel peaked between 3 and 6 a.m. and 3 and 6 p.m. Other perhaps surprising facts from ""Sleep Thieves"": It can take as many as six hours to clear sleep-inhibiting caffeine from the body. Alcohol makes you drowsy and helps you fall asleep, but it impairs rapid-eye-movement sleep later in the night, often depriving you of real rest. The same is true of strenuous exercise in the evening hours. Uncomfortable conditions (too much light, a too-soft or too-hard mattress) or even minor interruptions can be the equivalent of lost hours. ",1996,"Chicago Tribune (pre-1997 Fulltext); Chicago, Ill."
"16015",16015," If you're like most people who don't get enough sleep during the week, you used the luxury of an extra 60 minutes Sunday for catching zzz's. For some people, sleep is sacrificed when lives are crammed with activity. If you've been feeling tired and less energetic playing your sport or exercising, look at the amount and quality of sleep you're getting. Think of sleep as the time your body needs to make repairs -- you let the engine literally cool down. Athletic trainers recognize this. Any training plan should include recovery, says a report from the American College of Sports Medicine. Athletes in training need at least six to eight hours of deep sleep every night. Sleep deficits can significantly impede training. You might feel less energetic, sluggish, tired, cranky, less able to concentrate or focus. Sleep deficit can be a one-time occurrence -- getting five hours instead of your usual eight. You can accumulate sleep deficit -- when you get only six or seven hours on weeknights instead of the eight or nine your body and mind want. The amount of sleep an athlete needs is personal -- it varies from one person to the next. Remember that just because you need eight or more hours doesn't mean you're weaker than the person who functions on six. The quality of your sleep also is important. The kind that rejuvenates the body often occurs in the later stages of sleep -- called deep sleep and R.E.M. (rapid eye movement) sleep, Dr. Gary Zammit writes in ""Good Nights"" (Andrews and McMeel, $22.95). Sleep occurs in a cycle that repeats throughout the night. You go from light sleep to deep and R.E.M. sleep and then start over with light sleep. But you may not get enough deep and R.E.M. sleep because something interrupts your sleep -- though not enough to wake you. That interruption can be caused by snoring, sudden noises, a sleep disorder called sleep apnea, pain and many other things. If you're getting adequate amounts but not sleeping deeply enough, your body may not be getting enough repair time. How can you tell if you've had sufficient quality sleep? You awake feeling rested and rejuvenated, and sustain this feeling throughout your waking hours. Sometimes your ability to fall asleep is affected by when you exercise. Physicians specializing in sleep disorders suggest not exercising vigorously or playing sports less than three hours before you go to sleep. Light stretching and breathing exercises are OK. Most people who work out close to bedtime may experience difficulty nodding off and staying asleep because exercise can increase feelings of alertness. On the other hand, others are able to sleep without trouble after a workout. Liddane is an American Council on Exercise-certified group fitness instructor. Contact her at (714) 796-7854 or lliddane@ocregister.com. Credit: By The Orange County Register ",2001,"Orange County Register; Santa Ana, Calif."
"22572",22572," ""Celebrity Autobiography,"" a popular comedy show with a rotating cast of performers who read directly from works by famous people, involves a simple setup: mainly microphones and a chair or two. ""I feel like a monkey could do it,"" jokes Rachel Dratch, a ""Saturday Night Live"" alum and frequent performer. The cabaret-style show runs usually once a month in a 135-seat New York theater. It will soon tour Chicago, Pittsburgh, Austin, Texas, and Los Angeles, where it started a decade ago, says the show's creator, Eugene Pack. Mr. Pack calls the show ""found comedy,"" humor mined from celebrities' (or ghostwriters') own words. Stars' life philosophies have a way of sounding absurd in the presence of a crowd with a two-drink minimum. The readings also find a joke in the pairing of performer with material. For instance, former TV host Dick Cavett recently delivered a deadpan reading from a Jonas Brothers tour book. Mr. Pack says the show is meant to be fun, not mockery. He estimates he has culled through nearly 300 books to come up with the roughly 100 now in rotation, including material from Ivana Trump, Madonna and Burt Reynolds. Performers have included actors Rita Wilson, Kristen Wiig and Ryan Reynolds. On a recent evening, Megan Mullally, of ""Will & Grace,"" read with daffy sincerity from Zsa Zsa Gabor's 1991 memoir, ""One Lifetime Is Not Enough."" Ms. Mullally started with Ms. Gabor's description of her 72 hours in prison after her arrest for slapping a police officer: ""I realize that, for the first time since I am a child, I -- who normally sleep naked except for diamond earrings -- am not wearing them."" To craft a cohesive stage piece, Mr. Pack may pull lines from different parts of a memoir. (Books by today's media-savvy stars can be more challenging to adapt than the self-serious ones from the past.) Mr. Pack says no celebrity has ever complained to him about being used in the show, and he knows of only one author, ""Star Trek"" actor George Takei, who has attended a performance. Mr. Takei says he didn't write the passage about running naked from the shower to take a life-changing call from his agent for laughs, but so be it. ""I enjoy a good giggle now and then,"" he says, ""even if it was at my cost."" Credit: By Ellen Gamerman ",2010,"Wall Street Journal, Eastern edition; New York, N.Y."
"8952",8952," So that high-schooler of yours has to be blasted out of bed, doesn't seem awake even when up and sleepwalks out the door? It's not just a symptom of back-to-school season. ""It's worse than that,"" says Richard P. Allen, co-director of the Johns Hopkins Sleep Disorders Clinic. ""Many never get over it."" Between December and March, Allen conducted four surveys involving more than 300 students at five Baltimore-area high schools to study sleep patterns and their impact on academic performance. ""Our research showed a correlation between less sleep in the school week and poorer grades,"" he says. ""The average night's sleep on weekdays was seven hours and on the weekends nine hours,"" the clinical psychologist says. ""Seven hours is much too little sleep for this age. Adolescents need nine to 9 1/2 hours a night."" Less than that amounts to sleep deprivation, ""not a trivial thing."" But say your sleepwalkers make it to school. What then? ""They could be sleepy until 10 or 11 in the morning,"" Allen says. ""That means the first two or three periods. They're not waking up fully until about time for lunch."" So what's a parent to do? ""On weekends, get the kids to bed as early as possible, no later than 1 a.m., to help in adjusting to the school week,"" Allen says. ""That's not too much to ask."" ",1993,"Los Angeles Times (pre-1997 Fulltext); Los Angeles, Calif."
"8371",8371," 愼㸰 He was an office worker at the telephone company, but when colleagues came to call they often would catch him napping. One day some of them drew a cartoon of him, snoring away, and pinned it on his door. Everyone thought it was hilarious-except the napper. ""He was just sleepy,"" said his doctor, Allan Pack, director of the Center for Sleep and Respiratory Neurobiology at the University of Pennsylvania. Nappers-in our culture, anyway-get no respect. The afternoon nap may be a time-honored tradition in warm-weather countries, but try taking one here and co-workers will conclude you're sick, you've had a little too much vino with lunch or you're just lazy. Napping ""is not viewed as an acceptable adult daytime activity in our culture,"" said Rochelle Goldberg, clinical director of the Sleep Disorders Center of the Medical College of Pennsylvania. But new research indicates the nap may be a lot more valuable than anybody thought-in fact, it may be a great way to catch up on lost sleep. If there were such a thing as the Nap Commission, it would no doubt be headed by David Dinges, a biological psychologist at the University of Pennsylvania and co-author of a 1989 book with the intimidating title ""Sleep and Alertness-Chronobiological, Behavioral and Medical Aspects of Napping."" ""There is an inherent napping tendency in all of us,"" said Dinges, a man who sprinkles his conversation with terms such as ""compensatory napping"" (napping to make up for nighttime sleep missed), ""prophylactic napping"" (napping done before an anticipated sleep deficit) and ""appetitive napping"" (napping even when you don't feel tired). A book about taking a nap? Surprise-napping is a hot topic these days. There are at the moment at least eight books on the shelves dealing with napping, ranging from Dinges' scientific essay to explorations of the ""power nap"" and a look at Winston Churchill's napping habits. This was not always so. Napping, according to Dinges, was ""for many years a backwater"" (and a sleepy one, no doubt), even among researchers of sleep disorders. ""Even a lot of sleep doctors didn't think napping was appropriate,"" he said. ""But a number of us have been studying it for the last decade, and it appears this is changing."" Not that Dinges says napping is a panacea for all our problems. In fact, he says, it's been oversold (by proponents of such things as ""power napping"") as well as overcondemned (by most bosses). But he does say it has its place. Research on napping is opening some eyes these days, partly because of the findings of the National Commission on Sleep Disorders Research, released earlier this year. The commission found that 40 million Americans suffer from chronic sleep disorders and that the consequences ""span all aspects of modern society""-and cost the country at least $15.9 billion in 1990. ""This is a very sleepy country,"" said June Fry, director of the Sleep Disorders Center of the Medical College of Pennsylvania. ""There is a tremendous amount of sleep deprivation, and people don't take sleep very seriously."" And if you think the situation is getting better-dream on. ""The fact that some cultures have a lot of napping and others don't doesn't mean it isn't biologically driven,"" Dinges said. ""When a society moves from being primarily agrarian to industrial, the government typically does two things. . . . No more siestas, and shift work."" Enter the nap. ""It's a way to get a person through a rough period,"" Goldberg said. ""It can be a way of catching up on your sleep debt."" Don't get them wrong-every expert still says a good night's sleep is the ideal solution. But if for some reason that seven to eight hours of slumber eludes you, ""it's better to take a nap than not to,"" Fry says. In fact, since afternoon napping tends to be rich in the most restful phase of slow-wave sleep, in which brain activity slows to a crawl, it's a particularly effective tool for catching up on lost slumber. Experts say a short afternoon nap actually leaves you ""more"" rested than the same amount of time tacked onto your morning sleep. Dinges studied naps as a tool to get through a period of reduced sleep. Surprisingly, he found that if you're facing such a period, taking a nap before that time seems more effective than making up the sleep later. Dinges believes some people in particular might benefit from a nap now and then. He targets people ""whose performance affects the lives and safety of others,"" people in occupations ""where the nature of the work involves passive vigilance"" and people who work ""where there is a safety system which would allow them to take a nap."" On the other hand, certain people probably won't find napping a help. Among them: people who suffer from sleep apnea (a disorder in which the victim stops breathing numerous times during the night) and those who suffer from insomnia. For the latter group, napping pushes the sleep cycle even further out of whack. The average nap lasts 70 minutes, according to Dinges. But he advises not letting it go on more than two hours. ""If you sleep more than two hours, you risk delaying your sleep that night,"" he said. Older people, he added, should keep their naps to less than an hour. CAPTION: PHOTO: A patient at the Sleep Disorders Center of the Medical College of Pennsylvania is monitored. KRT photo. Illustration PHOTO ",1993,"Chicago Tribune (pre-1997 Fulltext); Chicago, Ill."
"20864",20864," POP FITNESS An afternoon snooze refreshes, revitalizes, recharges body and soul. Yet in our caffeine-buzzed society, naps are downright un- American. Slamming Red Bull, chugging Starbucks coffee and draining quad- shots of espresso is a lot more socially acceptable as the ""cure"" for sleep debt. Besides, it's tough to nap with all that caffeine rocketing through the aorta. And remember, if you snooze, you lose, right? Not according to scientific research. The rejuvenating effects of naps has resurfaced in a recent Stanford University School of Medicine study. Emergency room doctors and nurses who worked overnight shifts and were allowed 40-minute naps showed a boost in alertness and performance over those who worked straight through. Which group of doctors would you prefer probing your abdomen for a 38-caliber slug? ""Napping is a very powerful, very inexpensive way of improving our work,"" said Dr. Steven Howard, one of the study's authors. Research by Cornell University's James Maas, who is credited with coining the term ""power nap,"" revealed that nearly four in 10 American workers admit napping on the job, snoozing in bathroom stalls, at their desks (under them too) or in their cars. Convincing bosses that productivity improves with a nap hasn't met with success. Despite being supported by medical studies, the benefit of naps has been ignored for the illusion of an indefatigable workforce. In the 1990s, the 20-minute power nap stirred corporate America, but it was just a ripple. Sleeping on the job with the boss' blessing remains a rare perk. ""Slackers or an old person,"" said lifelong napper Karen Calhoun, 39, of Elk Grove, Calif., offering her take on America's opinion of nappers. The Starbucks phenomenon also began brewing in the 1990s. Why take a nap when you can sip your way to consciousness? ""We drive ourselves too hard,"" said Jill Murphy Long, a dedicated napper and author of ""Permission to Nap."" ""How many people are on Prozac and Zoloft? There's a better way to go about it than taking chemicals."" Her better way to combat stress, anxiety and fatigue is a chin- dropping nap. Our so-called internal clock sounds the alarm for the needed Zs. ""There's always a dip in the level of alertness in the afternoon,"" said Dr. Lydia Wytrzes, director of Sutter Sleep Center in Sacramento. Late evening and afternoon are the two daily periods when our species tends to get sleepy-eyed. Our natural circadian rhythms kick in, begging for nap time. Trouble is, there's plenty to get in the way of a good nap--guilt, jobs, commute time, appointments. ""Our society has evolved to where napping is not part of our culture,"" Wytrzes said. Calhoun would voluntarily take naps as a child, and she said, ""Before I had children I'd come home from work, take a nap and then make dinner."" Now working full time, Calhoun savors naps on weekends. ""My naps are after lunch, about 1 p.m. or so,"" she said. ""It'll be for an hour or so. I'm not a power napper--20 minutes doesn't get it."" Calhoun, once a couch napper, now prefers her bed, atop the covers. ""I'm not remaking the bed,"" she said. ""I'm a lazy napper."" 10 SECRETS TO GREAT NAPS 1. Feet up. Prone is the best position. 2. Order some peace and quiet. Close the door. Turn off the lights. 3. Be comfortable. Slip into pajamas. At work, loosen tight clothing. 4. Keep it short. Rest for at least 15 minutes but aim for 30 minutes. 5. Don't watch the time on a clock. 6. Create a nap spot. 7. Keep it cool, 60-65 degrees. 8. Let go of stress. 9. Pamper your body. Yoga, a bath or massage can help you relax. 10. Breathe! Start quiet time with meditation, guided imagery or deep-breathing exercises. [SOURCE: JILL MURPHY LONG, AUTHOR OF ""PERMISSION TO NAP: TAKING TIME TO RESTORE YOUR SPIRIT""] NAPS SCIENTIFICALLY SPEAKING - Nap between 2 and 4 p.m. when you have the natural sleep drive and it won't disturb night sleep. - Don't nap in the early evening when your sleep clock is counting down for a good night's sleep. It will mess with your normal sleep pattern. - If you're napping in the mornings there's something wrong with your sleep. You should be alert after you've slept. - Often, a short nap of 15 or 20 minutes is equally or even more refreshing than a longer nap. More than 30 minutes and you may feel worse. - Teenagers are biologically wired to nap because they're sleep- deprived. Teens need about an hour of sleep more than adults to feel rested. Their sleep clock also resets to a later sleep time, so they're night owls. [SOURCE: DR. LYDIA WYTRZES, DIRECTOR OF SUTTER SLEEP CENTER.] Illustration PHOTO; Caption: PHOTO (color): Finding some peace and quiet is one of the keys to having a great nap. [AP FILE PHOTO]. ",2007,"Chicago Tribune; Chicago, Ill."
"12710",12710," 愼㸰 Every Tuesday: Discoveries, breakthroughs and trends; See related stories: 06D So you fall asleep the minute your head hits the pillow. You get drowsy after a glass of wine and you sleep in on Saturdays. You may think you're getting adequate sleep, but in fact there's a good chance you're sleep-deprived. Sleep scientists say we're a nation of people who aren't getting enough shuteye, cheating ourselves out of at least one hour of sleep a day. It makes us a menace to ourselves and others. Too little sleep means we're less alert, less productive and less efficient than we could be, and we're more prone to injuries and errors in judgment. We're also more likely to be forgetful, angry, cranky and irritable. This situation is likely to get worse as Americans trade sleep for work, television and other activities. It's a problem that experts will be addressing beginning March 30 during a weeklong public awareness campaign aimed at making Americans realize the importance of sleep. Right now, Americans average seven hours of sleep a night, and a third get six hours or less, says James Maas, a Cornell University professor of psychology who makes the case for snoozing more in his new book, Power Sleep (Villard, $25). Although sleep requirements vary, most people need eight hours a night to be at their best the next day and not experience a significant mid- afternoon drop in alertness and energy, Maas says. There are some people, he says, who do OK with seven to 7 hours a night. Few people function at their optimal level on less than six hours a night, and a few need 10 hours or more to function well, he says. Sleep deprivation varies So millions of people are walking around, going about their work and driving on the nation's highways while they are mildly to moderately sleep-deprived. Some people have more sleep problems than others: An estimated 20 million to 30 million people experience transitory sleep problems such as insomnia a couple of nights a month because of stress, anxiety, pain, illness and depression, says the National Sleep Foundation, a nonprofit group in Washington, D.C. (Some experts say we all have transitory sleep problems.) About 25 million Americans have nontraditional work schedules that conflict with their natural sleep times, the group says. Up to 40 million Americans suffer from serious sleep disorders. About 10% of the population, or 20 million adults, have chronic insomnia, which is inadequate or poor quality sleep nightly for a month or more, says James K. Walsh, executive director and senior scientist at the Unity Sleep Medicine and Research Center at St. Luke's Hospital in St. Louis. An additional 10 million to 12 million have sleep apnea, a temporary cessation of breathing that causes a person to wake up without awareness during the night, according to the sleep foundation. Still others suffer from other sleep disorders including narcolepsy (a condition characterized by sudden and uncontrollable attacks of sleep) and restless-legs syndrome, a neurological disorder. Scientific evidence shows how widespread the problem of sleep deprivation is: Thomas Roth and researchers with the division of sleep medicine at Henry Ford Hospital in Detroit surveyed 1,007 people and discovered they slept an average of 6.7 hours a night during the week. But, research indicates that the average American needs eight hours a night, Roth says. Roth analyzed 100 young adults who said they were fully alert after a night's sleep. But he found that 12% had very serious sleepiness and that 22% were moderately sleepy. Walsh and colleagues did a study of 10- to 14-year-old children. They had some of the children miss a half night of sleep. Those who slept less had fewer verbal skills the next day than children who got 9 hours of sleep. Why are we so sleepy? ""In the big picture, sleep has a low priority (for many people),"" Roth says. ""When something has to give, sleep gives."" People stay up late to watch television, surf the Net, do the laundry. Many people feel they need to work long hours to be successful. But sleep experts such as Maas say people would actually be more efficient and productive if they got enough sleep. Sleep deprivation costs Americans more than $100 billion annually in lost productivity, medical expenses, sick leave and property and environmental damage, the National Sleep Foundation says. And lack of sleep is dangerous. The National Highway Traffic Safety Administration estimates that 100,000 police-reported motor vehicle crashes are caused by drowsy drivers every year. The price of lost hours Experts say loss of sleep is cumulative, creating a sleep debt. One hour of sleep loss every night for a week is the equivalent of staying up for an all-nighter, Maas says. Eventually your body tires and tries to make up for lost sleep with naps or extra sleep on the weekends. If people don't get enough shuteye, they may fall asleep in meetings or when driving. To get a good night's sleep, Maas recommends that people exercise regularly, stay mentally stimulated during the day, eat a proper diet, stop smoking, stop caffeinated food and drink at least six hours before bedtime, take a warm bath before going to bed and establish a bedtime ritual. It's best to avoid stewing about problems right before bedtime. Maas says one of the most common reasons for insomnia is stress. If you're in the habit of waking up at night or early in the morning worried about work, personal or family problems, he recommends that you keep a notepad on the nightstand and jot down a potential solution or a time during waking hours when you'll address the problem. Maas lectures to corporations across the nation, and he encourages people to learn the value of sleep. When people try his advice and get the recommended amount of sleep, he says, they often come back to him and say, ""I've never felt this awake before."" TEXT OF INFO BOX BEGINS HERE Determining whether you're sleep-deprived How do you know whether you're sleep-deprived? If you fall asleep immediately when you go to bed, you're not getting enough sleep. It should take you 15 to 20 minutes to fall asleep, doctors say. If a warm room, alcoholic beverage or boring lecture makes you drowsy, you are sleep-deprived. Most people think these situations cause sleepiness, but they just unmask sleepiness, says psychologist James Maas. If you've had enough sleep, a boring lecture may make you angry, irritable, bored or jittery, but it won't make you drowsy, he says. Here are some other ways to see whether you're sleepdeprived, from Maas' new book, Power Sleep. If three or more of the following describe you, it's possible that you need more sleep: I need an alarm clock in order to wake up at the appropriate time. It's a struggle for me to get out of bed in the morning. I feel tired, irritable and stressed out during the week. I have trouble concentrating. I have trouble remembering. I feel slow with critical thinking, problem solving, being creative. I often fall asleep watching television. I find it hard to stay awake in boring meetings or lectures, or in warm rooms. I often nod off after heavy meals or after a low dose of alcohol. I often feel drowsy while driving. I often sleep extra hours on weekend mornings. I often need a nap to get through the day. I have dark circles under my eyes. Illustration GRAPHIC, B/W, Grant Jerding, USA TODAY (Photo illustration); PHOTO, B/W, Mary Butkus, AP, for USA TODAY ",1998,"USA TODAY; McLean, Va."
"3219",3219," Although sleeping pills can help shift workers get an extra 50 minutes of sleep when they switch from day to night work, the extra sleep doesn't help them stay alert on the job. Researchers at Deaconess Hospital in St. Louis put healthy volunteers, eight men and 10 women, through two tours of simulated night shifts in which their sleep was delayed by nine hours for five days. On one tour they took a sleeping pill but not on the other. The study, reported in the current issue of Sleep, found that people have trouble adjusting to night work regardless of sleeping pill use. Over several days, the subjects became gradually more alert at night, even if they didn't sleep more during the day. Night workers never sleep as long or as well during the day as they do when they sleep at night, the researchers reported. The researchers concluded that sleeping pills may help some people get more rest if they have a very hard time sleeping during the day, but only for the first day or two after a shift change. ""We hasten to add,"" wrote James Walsh and the other researchers, ""that napping in the evening to increase total sleep time may be as helpful as extending the daytime sleep period"" with a sleeping pill. ",1988,"The Washington Post (pre-1997 Fulltext); Washington, D.C."
